University,Academic Research & Methodology,Accounting & Bookkeeping,Accounting & Financial Systems,Agricultural Technology,Biodiversity & Bioeconomy,Blockchain Infrastructure & Development,CBDCs & Stablecoins,Cloud Computing & Fog Computing,Consensus Mechanisms & Protocols,Consumer Behavior & Adoption,Cross-Chain & Interoperability,Crowdsourcing & Collaborative Systems,Cryptocurrency Economics & Market Analysis,Cryptography & Security,Data Analysis & Methodology,Data Privacy & Access Control,Data Transparency,DeFi (Decentralized Finance),Decentralized Applications (DApps),Decentralized Finance,Digital Identity & Authentication,E-Commerce & Digital Payments,Education,Energy & Sustainability,FinTech & Traditional Finance,Food Safety & Traceability,Game Theory & Mechanism Design,Governance & DAOs,Healthcare & Digital Health,Incentive Mechanisms,Infrastructure & Development,Insurance & Risk Management,Interoperability & Data Management,IoT & Edge Computing,Machine Learning & AI Applications,Market Microstructure,Metaverse & Virtual Reality,Network Analysis & Graph Theory,Optimization Techniques,Oracle Deviation Analysis,Payment Systems & Settlement,Portfolio Management & Investment Strategies,Privacy,Privacy & Compliance,Privacy & Data Protection,Privacy & Security,Public Transport & Mobility,Quantum Computing & Blockchain,RWA (Real World Assets),Regulation & Legal Analysis,Risk Management,Scalability & Performance Optimization,Security & Cryptography,Smart Cities & Urban Development,Smart Contract Security & Vulnerabilities,Social Media & Market Sentiment Analysis,Stablecoins & CBDCs,Supply Chain & Logistics,Sustainability & Energy,Sustainability & Infrastructure Development,Sustainable Digital Finance,Tokenomics & Token Design,Travel & Tourism,Trust & Governance,Trust-Building in Digital Asset Markets,Urban Development & Planning,Volatility & Market Behavior,Zero-Knowledge Proofs & Privacy
Australian National University,,,,,,126,,,126,,126,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,179,,,,,,
Berkeley,"113, 119, 216",,,,,119,,,218,,,,"189, 217, 306, 308, 310",,,,,310,,,,,,,"219, 308",,306,"309, 310",,,,,,,,,,218,,,,,,,,,,,,"189, 217, 219, 308, 309",,"218, 307","113, 216",,"119, 307, 309",,"189, 219, 306",,,,,217,,,,,,"113, 216, 307"
Bern,,,,,,,,,,,,,702,,,,,,,701,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,701,,,,,,,,,,,,,,,702
CMU,243,,,,,243,,,"149, 242, 315, 548, 550, 704",,,,"31, 311, 312, 549, 551, 703",,,,,"30, 31, 311, 314, 700, 703",,,"32, 244, 245, 548",,,,,,"149, 551, 700",,,,,,,,549,,,314,,,,,,,,,,,,"312, 550",,"242, 314","32, 242, 244, 245, 315, 548, 549, 550, 704",,"30, 32, 149, 243, 244, 245, 315, 704",,30,,,,,"31, 311, 312, 551, 700, 703",,,,,,
Columbia,,,,,,,,,632,,,,634,,,,,"632, 633, 634, 699",,,,,,,,,"632, 633",,,,,,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,"633, 634, 699",,,,,,
Columbia University,,,,,,455,,,457,,,,"455, 534",,,,,"455, 456, 457, 534",,,,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,"457, 534",,,,,,
Cornell,,,,,,,,,,,,,,,,,,572,,,,,,,"574, 576",,572,,,,,,,,,,,,,,,,,,,,,,,"574, 576",,,,,576,,574,,,,,572,,,,,,
Cornell University,,,,,,316,,,"316, 317, 318",,316,,,,,,,,,,,,,,,,,74,,,,,,,,,,317,,,,,,,,,,,,,,,"74, 317, 318",,"74, 318",,,,,,,,,,,,,
Delft University of Technology,"281, 283",,,,,"281, 442, 448",,,"284, 286, 442, 443, 444, 445, 446",,"285, 288, 445",,,,,,,286,,,,,,,,,447,,,,,,,,,,,"284, 285, 287, 446, 448",,,,,,,,,,,,,,"283, 285, 286, 288, 443, 445, 446, 447",444,,"281, 283, 284, 287, 288, 442, 443, 444, 447, 448",,,,,,,,,,,,,287
Duke University,,,,,,,,,425,,,,"425, 436, 439",,,,,33,,,,,,,"33, 439",,425,,,,,,,,,,,,,,,,,,,,,,,436,,,436,,,,439,,,,,33,,,,,,
ETH Zurich,246,,,,,215,,,"118, 215",,,,"118, 213, 214",,,,,"212, 213, 214",,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,211,,118,246,,"215, 246",,211,,,,,"212, 213, 214",,,,,,211
EUI,,,,,,,,,,,606,,,,,,,,,,"587, 605",,,,,,,,,,,,,,,,"587, 605",606,,,,,,,587,,,,,"605, 606",,,,,,,,,,,,,,,,,,
FGV,,,,,,,,,,,,,"478, 479, 481",,,,,482,,,483,,,,"482, 483",,,,,,,,,,,,,481,,,,,,,,,,,,"478, 482, 483",,,481,,,479,,,,,,"478, 479",,,,,,
FGV & USP,,,,,,,,,,,,,480,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,
Fundacao Getulio Vargas,,,,,,,,,,,,,354,,,,,355,,,,,,,355,,,,,,,,,,,,,354,,,,,,,,,,,355,,,,354,,,,,,,,,,,,,,,
Georgetown,,,,,,,,,223,,,,"222, 224, 340",,,,,"222, 225, 229, 341",,,"226, 343",,,,"224, 229, 230, 341",,,"223, 225, 226, 250, 341, 343",,,,,,,,,,,,,,,,,,,,,,"225, 226, 230, 250, 340, 343",,,,,223,,250,,,,,"222, 224, 229, 230, 340",,,,,,
