University,Academic Research & Methodology,Accounting & Bookkeeping,Accounting & Financial Systems,Agricultural Technology,Biodiversity & Bioeconomy,Blockchain Infrastructure & Development,CBDCs & Stablecoins,Cloud Computing & Fog Computing,Consensus Mechanisms & Protocols,Consumer Behavior & Adoption,Cross-Chain & Interoperability,Crowdsourcing & Collaborative Systems,Cryptocurrency Economics & Market Analysis,Cryptography & Security,Data Analysis & Methodology,Data Privacy & Access Control,Data Transparency,DeFi (Decentralized Finance),Decentralized Applications (DApps),Decentralized Finance,Digital Identity & Authentication,E-Commerce & Digital Payments,Education,Energy & Sustainability,FinTech & Traditional Finance,Food Safety & Traceability,Game Theory & Mechanism Design,Governance & DAOs,Healthcare & Digital Health,Incentive Mechanisms,Infrastructure & Development,Insurance & Risk Management,Interoperability & Data Management,IoT & Edge Computing,Machine Learning & AI Applications,Market Microstructure,Metaverse & Virtual Reality,Network Analysis & Graph Theory,Optimization Techniques,Oracle Deviation Analysis,Payment Systems & Settlement,Portfolio Management & Investment Strategies,Privacy,Privacy & Compliance,Privacy & Data Protection,Privacy & Security,Public Transport & Mobility,Quantum Computing & Blockchain,RWA (Real World Assets),Regulation & Legal Analysis,Risk Management,Scalability & Performance Optimization,Security & Cryptography,Smart Cities & Urban Development,Smart Contract Security & Vulnerabilities,Social Media & Market Sentiment Analysis,Stablecoins & CBDCs,Supply Chain & Logistics,Sustainability & Energy,Sustainability & Infrastructure Development,Sustainable Digital Finance,Tokenomics & Token Design,Travel & Tourism,Trust & Governance,Trust-Building in Digital Asset Markets,Urban Development & Planning,Volatility & Market Behavior,Zero-Knowledge Proofs & Privacy
Australian National University,,,,,,126,,,126,,126,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,179,,,,,,
Carnegie Mellon University,243,,,,,243,,,"149, 242, 315, 548, 550, 704",,,,"31, 311, 312, 549, 551, 703",,,,,"30, 31, 311, 314, 700, 703",,,"32, 244, 245, 548",,,,,,"149, 551, 700",,,,,,,,549,,,314,,,,,,,,,,,,"312, 550",,"242, 314","32, 242, 244, 245, 315, 548, 549, 550, 704",,"30, 32, 149, 243, 244, 245, 315, 704",,30,,,,,"31, 311, 312, 551, 700, 703",,,,,,
Columbia University,,,,,,455,,,"457, 632",,,,"455, 534, 634",,,,,"455, 456, 457, 534, 632, 633, 634, 699",,,,,,,,,"632, 633",456,,,,,,,,699,,,,,,,,,,,,,,,,,,,456,,,,,,,"457, 534, 633, 634, 699",,,,,,
Cornell University,,,,,,316,,,"316, 317, 318",,316,,,,,,,572,,,,,,,"574, 576",,572,74,,,,,,,,,,317,,,,,,,,,,,,"574, 576",,,"74, 317, 318",,"74, 318, 576",,574,,,,,572,,,,,,
Duke University,,,,,,,,,425,,,,"425, 436, 439",,,,,33,,,,,,,"33, 439",,425,,,,,,,,,,,,,,,,,,,,,,,436,,,436,,,,439,,,,,33,,,,,,
ETH Zurich,246,,,,,215,,,"118, 215",,,,"118, 213, 214",,,,,"212, 213, 214",,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,211,,118,246,,"215, 246",,211,,,,,"212, 213, 214",,,,,,211
European University Institute,,,,,,,,,,,606,,,,,,,,,,"587, 605",,,,,,,,,,,,,,,,"587, 605",606,,,,,,,587,,,,,"605, 606",,,,,,,,,,,,,,,,,,
Fundação Getulio Vargas,,,,,,,,,,,,,"354, 478, 479, 480, 481",,,,,"355, 482",,,483,,,,"355, 482, 483",,480,,,,,,,,,,,"354, 481",,,,,,,,,,,355,"478, 482, 483",,,"354, 481",,,479,,,,,,"478, 479, 480",,,,,,
Georgetown University,,,,,,,,,223,,,,"222, 224, 340",,,,,"222, 225, 229, 341",,,"226, 343",,,,"224, 229, 230, 341",,,"223, 225, 226, 250, 341, 343",,,,,,,,,,,,,,,,,,,,,,"225, 226, 230, 250, 340, 343",,,,,223,,250,,,,,"222, 224, 229, 230, 340",,,,,,
IE Business School Madrid,,,,,,,,,,,,,,,,,,,,,,,,,599,,,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,
Indian Institute of Technology Bombay,321,,,,,"122, 321, 324",,,"127, 251, 274, 325, 541",,,,"120, 325",,,,,,,,"275, 324",,,,,,,"62, 127, 273",121,,,,,,,,,"120, 541",,,,,,,,"62, 121",,,"62, 273","275, 325",,"251, 274","251, 275, 324, 541",,"121, 122, 127, 273, 274, 321",,,,,,,,,,,,120,
