University,Academic Research & Methodology,Accounting & Bookkeeping,Accounting & Financial Systems,Agricultural Technology,Biodiversity & Bioeconomy,Blockchain Infrastructure & Development,CBDCs & Stablecoins,Cloud Computing & Fog Computing,Consensus Mechanisms & Protocols,Consumer Behavior & Adoption,Cross-Chain & Interoperability,Crowdsourcing & Collaborative Systems,Cryptocurrency Economics & Market Analysis,Cryptography & Security,Data Analysis & Methodology,Data Privacy & Access Control,Data Transparency,DeFi (Decentralized Finance),Decentralized Applications (DApps),Decentralized Finance,Digital Identity & Authentication,E-Commerce & Digital Payments,Education,Energy & Sustainability,FinTech & Traditional Finance,Food Safety & Traceability,Game Theory & Mechanism Design,Governance & DAOs,Healthcare & Digital Health,Incentive Mechanisms,Infrastructure & Development,Insurance & Risk Management,Interoperability & Data Management,IoT & Edge Computing,Machine Learning & AI Applications,Market Microstructure,Metaverse & Virtual Reality,Network Analysis & Graph Theory,Optimization Techniques,Oracle Deviation Analysis,Payment Systems & Settlement,Portfolio Management & Investment Strategies,Privacy,Privacy & Compliance,Privacy & Data Protection,Privacy & Security,Public Transport & Mobility,Quantum Computing & Blockchain,RWA (Real World Assets),Regulation & Legal Analysis,Risk Management,Scalability & Performance Optimization,Security & Cryptography,Smart Cities & Urban Development,Smart Contract Security & Vulnerabilities,Social Media & Market Sentiment Analysis,Stablecoins & CBDCs,Supply Chain & Logistics,Sustainability & Energy,Sustainability & Infrastructure Development,Sustainable Digital Finance,Tokenomics & Token Design,Travel & Tourism,Trust & Governance,Trust-Building in Digital Asset Markets,Urban Development & Planning,Volatility & Market Behavior,Zero-Knowledge Proofs & Privacy
Australian National University,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carnegie Mellon University,1,0,0,0,0,1,0,0,6,0,0,0,6,0,0,0,0,6,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,8,0,1,0,0,0,0,6,0,0,0,0,0,0
Columbia University,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
Cornell University,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
Duke University,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ETH Zurich,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,1
European University Institute,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundação Getulio Vargas,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Georgetown University,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,2,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0
IE Business School Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
